City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
298,Harsin,IR,34.27,47.59,95.0,3,0,9.17,clear sky
299,Warah,PK,27.45,67.8,96.26,37,6,7.83,clear sky
300,Salinas,US,36.68,-121.66,59.0,87,90,1.03,mist
301,Ossora,RU,59.24,163.07,44.83,82,62,7.49,broken clouds
302,Bure,ET,10.7,37.07,61.03,94,100,0.49,overcast clouds
303,Varberg,SE,57.11,12.25,60.01,91,40,4.0,scattered clouds
304,Boffa,GN,10.17,-14.03,74.57,94,100,7.99,light rain
305,Ambagarh Chauki,IN,20.78,80.72,74.75,92,6,8.81,clear sky
306,Coahuayana,MX,18.73,-103.68,69.8,83,90,0.89,moderate rain
307,Kankan,GN,10.39,-9.31,80.04,83,52,8.1,light rain
308,Marzuq,YE,14.4,46.47,88.45,37,65,10.65,broken clouds
309,Kaitangata,NZ,-46.28,169.85,53.01,70,100,18.01,overcast clouds
310,Trenggalek,ID,-8.05,111.72,72.84,82,65,5.46,broken clouds
311,Bouca,CF,6.51,18.27,76.21,88,100,5.1,light rain
312,Klisura,BG,42.7,24.45,95.0,15,5,11.41,clear sky
313,Sangar,RU,63.92,127.47,58.68,52,100,12.64,overcast clouds
314,Khotiv,UA,50.33,30.47,84.2,34,38,4.47,scattered clouds
315,Maturin,VE,9.75,-63.18,88.0,61,4,6.85,clear sky
316,Rio Gallegos,AR,-51.62,-69.22,33.8,64,75,17.22,broken clouds
317,Chapaevsk,RU,52.98,49.71,69.8,73,40,4.47,scattered clouds
318,Cockburn Town,TC,21.46,-71.14,83.19,76,3,9.82,clear sky
319,Mecca,SA,21.43,39.83,99.82,18,0,20.87,clear sky
320,Takoradi,GH,4.88,-1.76,79.92,71,60,14.92,broken clouds
321,Fuerte,PH,17.54,120.36,80.92,79,100,4.45,overcast clouds
322,Nanakuli,US,21.39,-158.15,78.8,73,1,3.36,clear sky
323,Korla,CN,41.76,86.15,71.01,76,0,8.01,clear sky
324,Asfi,MA,32.3,-9.24,72.84,63,0,27.89,clear sky
325,Gubkin,RU,51.28,37.55,70.92,62,68,7.09,broken clouds
326,Tura,IN,25.52,90.22,75.11,93,53,4.16,broken clouds
327,Charters Towers,AU,-20.1,146.27,58.32,83,12,11.83,few clouds
328,Mokhsogollokh,RU,61.47,128.92,57.38,56,100,6.76,overcast clouds
329,Laja,CL,-37.27,-72.7,41.0,86,20,17.22,few clouds
330,Launceston,AU,-41.45,147.17,44.01,100,50,8.05,scattered clouds
331,Mombasa,KE,-4.05,39.66,80.6,65,40,11.41,scattered clouds
332,Tuatapere,NZ,-46.13,167.68,49.87,84,100,9.33,overcast clouds
333,Dongsheng,CN,39.82,109.98,72.77,59,100,20.62,overcast clouds
334,College,US,64.86,-147.8,46.99,93,75,4.7,mist
335,Raymond,US,43.9,-70.47,55.99,96,100,7.34,heavy intensity rain
336,Vallenar,CL,-28.57,-70.76,67.62,25,47,3.78,scattered clouds
337,Deniliquin,AU,-35.53,144.97,51.01,82,0,1.01,clear sky
338,Sorata,BO,-15.77,-68.63,61.41,35,14,4.74,few clouds
339,Chapais,CA,49.78,-74.85,51.8,71,90,9.17,overcast clouds
340,Danilov,RU,58.19,40.17,59.0,82,90,8.95,overcast clouds
341,Kyabe,TD,9.45,18.94,78.26,81,74,7.47,broken clouds
342,Moranbah,AU,-22.0,148.05,58.5,83,15,16.51,few clouds
343,Chicama,PE,-7.84,-79.15,68.2,64,56,7.02,broken clouds
344,Luganville,VU,-15.53,167.17,75.42,91,100,10.2,moderate rain
345,Ovruch,UA,51.32,28.8,75.4,58,76,7.2,broken clouds
346,Opunake,NZ,-39.46,173.86,50.0,95,4,13.09,clear sky
347,Banjar,ID,-8.19,114.97,78.8,88,20,14.99,few clouds
348,Chaman,PK,30.92,66.45,77.09,16,0,8.52,clear sky
349,Udachnyy,RU,66.42,112.4,55.4,37,70,4.47,broken clouds
350,Sivas,TR,39.79,37.0,80.6,10,0,16.11,clear sky
351,Mangrol,IN,21.12,70.12,80.73,87,100,18.19,heavy intensity rain
352,Kysyl-Syr,RU,63.9,122.76,53.89,87,100,0.65,light rain
353,Surat Thani,TH,9.14,99.33,78.8,88,20,1.12,few clouds
354,Vanimo,PG,-2.67,141.3,76.93,84,87,6.38,overcast clouds
355,Leningradskiy,RU,69.38,178.42,36.63,92,100,7.74,overcast clouds
356,Neuquen,AR,-38.95,-68.06,44.6,39,0,4.7,clear sky
357,Vung Tau,VN,10.35,107.08,83.37,81,46,13.53,scattered clouds
358,Tilichiki,RU,60.47,166.1,42.55,84,100,3.69,overcast clouds
359,Gaziantep,TR,37.06,37.38,100.4,13,0,3.22,clear sky
360,Arti,RU,56.42,58.53,66.88,75,83,6.33,broken clouds
361,Mgandu,TZ,-5.95,34.13,82.47,21,5,9.73,clear sky
362,Perbaungan,ID,3.57,98.96,79.3,80,64,1.21,broken clouds
363,Tran,BG,42.84,22.65,91.0,31,3,12.75,clear sky
