City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
161,Port-Gentil,GA,2020-08-27 21:38:27,-0.72,8.78,78.8,83,75,14.65
162,Palizada,MX,2020-08-27 21:38:27,18.25,-92.08,91.4,55,20,5.82
163,Songea,TZ,2020-08-27 21:38:27,-10.68,35.65,68.0,72,5,2.42
164,Manthani,IN,2020-08-27 21:38:27,18.65,79.67,74.14,90,100,11.83
165,Valparaiso,CL,2020-08-27 21:35:01,-33.04,-71.63,53.6,62,2,8.05
166,Miles City,US,2020-08-27 21:38:27,46.41,-105.84,84.2,37,1,8.05
167,Frankenberg,DE,2020-08-27 21:38:27,51.07,8.8,62.01,67,90,1.12
168,Gravdal,NO,2020-08-27 21:38:27,68.12,13.5,44.6,100,75,3.36
169,Gizo,SB,2020-08-27 21:38:27,-8.1,156.84,83.07,74,100,10.49
170,Vila Franca Do Campo,PT,2020-08-27 21:38:27,37.72,-25.43,75.2,88,20,5.82
171,Bethel,US,2020-08-27 21:37:24,41.37,-73.41,82.0,100,90,3.36
172,Longyearbyen,SJ,2020-08-27 21:38:27,78.22,15.64,37.4,69,40,12.75
173,Pijijiapan,MX,2020-08-27 21:38:27,15.7,-93.23,82.4,75,100,2.89
174,Nizhniy Kuranakh,RU,2020-08-27 21:38:27,58.84,125.49,43.84,70,0,1.61
175,Kununurra,AU,2020-08-27 21:38:27,-15.77,128.73,73.4,28,84,9.17
176,Salalah,OM,2020-08-27 21:37:51,17.02,54.09,77.0,94,90,1.12
177,Bredasdorp,ZA,2020-08-27 21:38:28,-34.53,20.04,55.4,93,47,9.17
178,Marawi,PH,2020-08-27 21:38:28,8.0,124.29,73.99,93,47,4.0
179,Kumluca,TR,2020-08-27 21:38:28,36.37,30.29,83.41,46,0,4.9
180,Hilo,US,2020-08-27 21:35:40,19.73,-155.09,84.2,58,40,6.93
181,Kedrovyy,RU,2020-08-27 21:38:28,56.17,91.82,48.2,100,64,2.59
182,Geraldton,AU,2020-08-27 21:38:28,-28.77,114.6,50.0,93,0,8.05
183,Mayumba,GA,2020-08-27 21:38:28,-3.43,10.66,75.06,87,100,8.75
184,Malakal,SS,2020-08-27 21:38:28,9.53,31.66,74.73,83,95,1.03
185,Arlit,NE,2020-08-27 21:38:28,18.74,7.39,95.23,29,93,6.58
186,Bathsheba,BB,2020-08-27 21:38:28,13.22,-59.52,84.2,74,20,14.99
187,Alyangula,AU,2020-08-27 21:38:28,-13.85,136.42,71.6,73,33,6.93
188,Camacupa,AO,2020-08-27 21:38:28,-12.02,17.48,63.72,30,78,4.32
189,Antalaha,MG,2020-08-27 21:38:28,-14.9,50.28,68.07,78,25,6.13
190,Yuzhno-Kurilsk,RU,2020-08-27 21:38:28,44.03,145.86,67.84,94,73,9.31
191,Altar,MX,2020-08-27 21:38:28,30.7,-111.82,107.01,27,0,3.0
192,San Quintin,MX,2020-08-27 21:38:28,30.48,-115.95,78.85,61,24,8.79
193,Ust-Kuyga,RU,2020-08-27 21:38:28,70.02,135.6,48.13,52,0,2.33
194,San Luis,AR,2020-08-27 21:34:02,-33.3,-66.34,60.35,40,0,5.01
195,Hithadhoo,MV,2020-08-27 21:38:28,-0.6,73.08,82.08,66,100,0.83
196,Manggar,ID,2020-08-27 21:38:28,-2.88,108.27,80.56,79,93,12.57
197,Cabo San Lucas,MX,2020-08-27 21:34:23,22.89,-109.91,91.4,59,20,3.36
198,Hami,CN,2020-08-27 21:35:21,42.8,93.45,73.0,21,75,16.26
199,Maracas,BR,2020-08-27 21:34:38,-13.44,-40.43,64.33,79,55,10.85
200,Chuy,UY,2020-08-27 21:38:29,-33.7,-53.46,57.6,98,100,10.38
201,Meghri,AM,2020-08-27 21:38:29,38.9,46.24,67.14,49,0,3.47
202,Rawson,AR,2020-08-27 21:38:29,-43.3,-65.1,57.99,36,0,11.72
203,Nuuk,GL,2020-08-27 21:38:29,64.18,-51.72,50.0,66,75,3.36
204,Constitucion,CL,2020-08-27 21:38:29,-35.33,-72.42,50.85,70,8,5.86
205,Hamilton,US,2020-08-27 21:33:51,39.18,-84.53,82.99,69,1,3.36
206,Paso De Carrasco,UY,2020-08-27 21:38:29,-34.86,-56.05,57.2,76,75,6.93
207,Mozhaysk,RU,2020-08-27 21:38:29,55.5,36.03,54.64,97,90,4.61
208,Yar-Sale,RU,2020-08-27 21:38:29,66.83,70.83,54.0,82,49,6.44
209,Hobyo,SO,2020-08-27 21:38:29,5.35,48.53,76.08,81,96,26.69
210,Chimbote,PE,2020-08-27 21:34:38,-9.09,-78.58,64.45,77,33,9.48
211,Mangai,CD,2020-08-27 21:38:29,-4.05,19.53,70.07,96,96,2.08
212,Bac Lieu,VN,2020-08-27 21:38:29,9.29,105.72,80.24,85,100,9.28
213,Tamiahua,MX,2020-08-27 21:38:29,21.27,-97.45,86.31,72,21,11.56
214,Donji Milanovac,RS,2020-08-27 21:38:30,44.46,22.15,63.05,52,4,3.69
215,College,US,2020-08-27 21:38:30,64.86,-147.8,62.6,51,75,6.93
216,Fowa,NG,2020-08-27 21:38:30,8.92,6.4,74.88,90,100,2.48
217,Nome,US,2020-08-27 21:38:30,64.5,-165.41,60.8,59,75,6.93
218,Saint Anthony,US,2020-08-27 21:38:30,45.02,-93.22,88.0,35,1,4.7
219,Provideniya,RU,2020-08-27 21:38:30,64.38,-173.3,50.0,87,90,6.71
220,San Isidro,PE,2020-08-27 21:38:30,-12.12,-77.05,62.6,82,90,8.05
221,Atambua,ID,2020-08-27 21:38:30,-9.11,124.89,68.05,74,4,4.21
222,Lagos,NG,2020-08-27 21:38:30,6.58,3.75,77.0,88,20,3.36
223,Vinh,VN,2020-08-27 21:35:23,18.67,105.67,79.66,82,27,3.69
224,Tomakivka,UA,2020-08-27 21:38:30,47.82,34.74,73.0,60,75,15.66
225,Mayo,US,2020-08-27 21:38:30,38.89,-76.51,90.0,59,1,5.82
226,Denpasar,ID,2020-08-27 21:38:30,-8.65,115.22,78.8,100,40,8.05
227,Zeya,RU,2020-08-27 21:38:30,53.75,127.27,49.35,75,75,7.87
228,Pringsewu,ID,2020-08-27 21:38:30,-5.36,104.97,70.07,92,85,1.79
229,Chokurdakh,RU,2020-08-27 21:38:31,70.63,147.92,38.48,82,100,8.3
230,Markova,UA,2020-08-27 21:38:31,48.68,24.41,58.82,78,100,5.3
231,Deer Lake,CA,2020-08-27 21:36:14,49.17,-57.43,55.4,76,90,12.75
232,Khandyga,RU,2020-08-27 21:38:31,62.67,135.6,46.69,57,11,1.86
233,Morgan City,US,2020-08-27 21:38:31,29.7,-91.21,84.99,88,40,12.75
234,Mitsamiouli,KM,2020-08-27 21:38:31,-11.38,43.28,75.69,78,33,2.15
235,Phangnga,TH,2020-08-27 21:38:31,8.45,98.53,80.6,83,20,3.36
236,Riyadh,SA,2020-08-27 21:37:06,24.69,46.72,91.4,21,0,3.36
237,Sitka,US,2020-08-27 21:38:31,57.05,-135.33,59.0,62,90,11.41
238,Havre-Saint-Pierre,CA,2020-08-27 21:38:31,50.23,-63.6,60.8,51,40,16.11
239,Babu,CN,2020-08-27 21:36:40,24.42,111.52,71.28,74,0,1.32
240,Port Moresby,PG,2020-08-27 21:38:31,-9.44,147.18,77.47,83,48,15.32
241,North Bend,US,2020-08-27 21:34:32,43.41,-124.22,79.0,77,1,27.51
242,Semnan,IR,2020-08-27 21:38:31,35.57,53.4,75.2,24,0,3.8
243,Kavaratti,IN,2020-08-27 21:38:31,10.57,72.64,82.4,73,100,11.21
244,Gaoua,BF,2020-08-27 21:38:31,10.3,-3.25,73.24,91,98,5.73
245,Sungaipenuh,ID,2020-08-27 21:38:06,-2.08,101.38,61.59,85,44,3.33
246,Kalmunai,LK,2020-08-27 21:38:32,7.42,81.82,77.74,81,43,4.16
247,Sistranda,NO,2020-08-27 21:38:32,63.73,8.83,48.2,87,20,5.82
248,Te Anau,NZ,2020-08-27 21:38:32,-45.42,167.72,42.76,88,99,7.99
249,Mahebourg,MU,2020-08-27 21:38:32,-20.41,57.7,71.6,68,40,11.41
250,Tomatlan,MX,2020-08-27 21:38:32,19.93,-105.25,75.52,97,100,9.95
251,Gushikawa,JP,2020-08-27 21:38:32,26.35,127.87,78.8,83,90,3.36
252,Kaitangata,NZ,2020-08-27 21:38:32,-46.28,169.85,46.0,80,58,5.97
253,Boa Vista,BR,2020-08-27 21:38:32,2.82,-60.67,93.2,46,40,2.24
254,Sloboda,RU,2020-08-27 21:36:29,51.14,40.3,62.1,65,55,4.14
255,Saint-Georges,GD,2020-08-27 21:38:32,12.06,-61.75,87.8,70,20,17.22
256,Kisangani,CD,2020-08-27 21:38:32,0.52,25.2,71.11,96,8,2.28
257,Ballina,AU,2020-08-27 21:38:32,-28.87,153.57,57.0,93,1,1.12
258,Buchanan,LR,2020-08-27 21:38:32,5.88,-10.05,76.64,85,87,9.48
259,Ikalamavony,MG,2020-08-27 21:38:32,-21.15,46.58,63.84,74,5,4.76
260,Monywa,MM,2020-08-27 21:38:32,22.12,95.13,78.42,85,0,7.27
261,Mogadishu,SO,2020-08-27 21:38:32,2.04,45.34,76.48,83,6,14.56
262,Bambous Virieux,MU,2020-08-27 21:38:32,-20.34,57.76,71.6,68,40,11.41
263,Kailua,US,2020-08-27 21:35:21,21.4,-157.74,87.8,58,20,10.29
264,Sao Filipe,CV,2020-08-27 21:38:32,14.9,-24.5,78.01,85,100,5.28
265,Shaowu,CN,2020-08-27 21:38:33,27.34,117.48,73.06,89,96,2.46
